"POVINN","REQTYP","REQPOVINN"
NTMF047,K,NTMF027
NTMF050,K,NTMF049
NUAS002,N,NUOS009
NUAS003,N,NUOS009
NUAS004,N,NUAS014
NUAS005,N,NUAS015
NUAS005,N,NUOS009
NUAS006,N,NUAS016
NUAS007,N,NUAS017
NUFY018,N,NFUF405
NUFY018,Z,NFUF405
NUFY023,N,NFUF503
NUFY023,Z,NFUF503
NUFY024,Z,NUFY107
NUFY024,Z,NUFY110
NUFY031,K,NUFY030
NUFY036,P,NUFY014
NUFY037,K,NUFY036
NUFY037,P,NUFY014
NUFY046,P,NUFY013
NUFY046,P,NUFY031
NUFY048,K,NUFY047
NUFY050,P,NUFY030
NUFY051,Z,NUFZ020
NUFY051,Z,NUFZ021
NUFY055,P,NUFY021
NUFY055,P,NUFY042
NUFY055,P,NUFY043
NUFY056,N,NFUF401
NUFY056,Z,NFUF401
NUFY059,Z,NUFY021
NUFY070,N,NFUF801
NUFY070,Z,NFUF801
NUFY075,Z,NFUF805
NUFY076,Z,NUFY088
NUFY076,Z,NUFY095
NUMP001,N,NMAA007
NUMP001,N,NMUE002
NUMP001,Z,NMUE002
NUMP001,Z,NMUM101
NUMP002,N,NMAA007
NUMP002,N,NMAA008
NUMP002,N,NMUE002
NUMP002,N,NMUE003
NUMP002,Z,NMUE003
NUMP002,Z,NMUM102
NUMP005,K,NUMP001
NUMP005,K,NUMP002
NUMP005,N,NMUM201
NUMP005,Z,NMUM201
NUMP006,K,NUMP001
NUMP006,K,NUMP002
NUMP009,N,NMUM303
NUMP009,Z,NMUM303
NUMP010,N,NMUM203
NUMP010,Z,NMUM203
NUMP011,N,NMUM204
NUMP011,Z,NMUM204
NUMP012,Z,NUMP021
NUMP013,N,NMUM403
NUMP013,Z,NMUM403
NUMP014,N,NMUM301
NUMP014,Z,NMUM301
NUMP015,N,NMUM305
NUMP015,Z,NMUM305
NUMP017,N,NMUM503
NUMP017,Z,NMUM503
NUMV001,N,NMUM306
NUMV001,Z,NMUM306
NUMV006,K,NUMV005
NUMV043,N,NMUM307
NUMV043,Z,NMUM307
NUMZ004,N,NALG026
NUMZ004,N,NALG027
NUMZ004,N,NMAI019
NUMZ004,N,NMUE004
NUMZ004,N,NUMP007
NUMZ004,Z,NALG026
NUMZ004,Z,NALG027
NUMZ004,Z,NMUE004
NUMZ004,Z,NUMP007
NAIL003,N,NAIL063
NAIL003,N,NLTM030
NAIL003,Z,NAIL063
NAIL003,Z,NLTM030
NAIL004,N,NXXX038
NAIL004,N,NXXX039
NAIL004,N,NXXX040
NAIL004,N,NXXX067
NAIL004,N,NXXX069
NAIL008,P,NAIL019
NAIL008,P,NAIL084
NAIL015,K,NAIL060
NAIL020,P,NAIL010
NAIL023,N,NAIL062
NAIL023,Z,NAIL062
NAIL024,P,NPRG005
NAIL028,N,NXXX038
NAIL028,N,NXXX039
NAIL028,N,NXXX040
NAIL028,N,NXXX067
NAIL028,N,NXXX069
NAIL028,N,NAIL126
NAIL028,Z,NAIL126
NAIL033,P,NAIL023
NAIL052,N,NXXX038
NAIL052,N,NXXX039
NAIL052,N,NXXX040
NAIL052,N,NXXX067
NAIL052,N,NXXX069
NALG003,N,NALG001
NALG003,N,NALG002
NALG003,N,NMAF012
NALG003,N,NMAF031
NALG003,N,NMAF032
NALG003,N,NMAI045
NALG003,N,NUMP003
NALG003,N,NUMP004
NALG003,Z,NALG001
NALG003,Z,NMAF012
NALG003,Z,NMAI045
NALG004,K,NALG003
NALG004,N,NALG002
NALG004,N,NMAF028
NALG004,N,NMAF032
NALG004,N,NMUE025
NALG004,N,NUMP004
NALG004,Z,NALG002
NALG004,Z,NMAF028
NALG004,Z,NMAF032
NALG006,K,NALG027
NALG010,P,NALG017
NALG011,K,NALG103
NALG013,P,NALG027
NALG016,Z,NMAG561
NALG027,K,NALG026
NALG027,P,N#AL300
NALG027,Z,NMAG202
NALG027,Z,NMAI063
NALG052,P,NALG017
NALG058,P,NMAI031
NAST011,K,NAST005
NAST016,K,NAST019
NAST028,K,NAST006
NAST028,K,NAST007
NBCM003,P,NFPL010
NBCM031,N,NBCM165
NBCM031,Z,NBCM165
NBCM035,N,NBCM183
NBCM035,Z,NBCM183
NBCM093,K,NBCM067
NDBI002,N,NDBI025
NDBI002,Z,NDBI025
NDBI005,P,NDBI002
NDBI006,N,NDBI050
NDBI006,Z,NDBI050
NDBI009,P,NDBI025
NDBI011,P,NDBI002
NDBI014,P,NDBI025
NDBI017,P,NDBI025
NDFY001,Z,NDFY049
NDFY001,Z,NDFY050
NDFY025,P,NDFY001
NDGE005,Z,NMUG201
NDIM003,K,NDIM002
NDIN003,Z,NDIN013
NDIR007,K,NDIR006
NDIR008,Z,NMMA463
NDIR010,Z,NMMO532
NDMA006,N,NDMI002
NDMA006,N,NDMA005
NDMI018,N,NXXX007
NDMI018,N,NXXX008
NDMI018,N,NXXX009
NDMI018,N,NXXX036
NDMI018,N,NXXX037
NDMI025,N,NXXX007
NDMI025,N,NXXX008
NDMI025,N,NXXX009
NDMI025,N,NXXX036
NDMI025,N,NXXX037
NDMI030,N,NDMA005
NDMI030,N,NDMA006
NDMI030,N,NDMI002
NDMI030,N,NDMI003
NDMI030,Z,NDMA005
NDMI030,Z,NDMI002
NDMI030,Z,NDMI003
NEKN012,Z,NMSA403
NEVF004,K,NEVF012
NEVF008,N,NEVF058
NEVF011,N,NEVF040
NEVF011,N,NEVF041
NEVF011,N,NEVF042
NEVF011,N,NEVF043
NEVF011,Z,NEVF040
NEVF011,Z,NEVF041
NEVF011,Z,NEVF042
NEVF011,Z,NEVF043
NEVF011,Z,NEVF089
NEVF011,Z,NEVF090
NEVF027,K,NEVF021
NEVF035,K,NEVF002
NEVF035,K,NFPL063
NEVF040,N,NEVF011
NEVF040,N,NEVF042
NEVF040,N,NEVF043
NEVF040,Z,NEVF011
NEVF040,Z,NEVF042
NEVF042,N,NEVF011
NEVF042,N,NEVF040
NEVF042,N,NEVF041
NEVF042,Z,NEVF011
NEVF042,Z,NEVF040
NEVF050,K,NEVF036
NEVF057,P,NEVF015
NEVF058,N,NEVF008
NEVF068,P,N#EVF03
NFAP023,Z,NMFM307
NFPL001,Z,NFPL182
NFPL007,P,NOFY039
NFPL025,N,NFPL012
NFPL036,P,NFPL026
NFYM003,K,NFYM002
NFYM007,P,NMOD012
NFYM012,Z,NFYM014
NFYM012,Z,NFYM015
NGEM008,Z,NMAG463
NGEM027,N,NTMF037
NJSF060,N,NJSF068
NJSF060,Z,NJSF068
NJSF061,K,NJSF060
NJSF061,N,NJSF069
NJSF061,Z,NJSF069
NJSF062,N,NJSF068
NJSF062,Z,NJSF068
NJSF068,N,NJSF145
NJSF068,Z,NJSF145
NJSF069,N,NJSF146
NJSF069,Z,NJSF146
NJSF083,K,NJSF082
NJSF094,N,NBCM110
NJSF094,N,NFPL010
NJSF094,N,NJSF060
NJSF094,N,NOFY042
NJSF094,N,NOFY045
NJSF094,N,NOFY076
NJSF094,N,NTMF066
NJSF094,Z,NOFY076
NJSF094,Z,NTMF066
NJSF095,N,NBCM111
