"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"10989","32-#EXT","11320",Pech,Pavel,Prof. RNDr.,CSc.
"11527","32-UTF","11320",Předota,Milan,doc. RNDr.,Ph.D.
"11528","32-KTV","11320",Kolkusová - Diblíková,Petra,Mgr.,
"12956","32-KAM","11320",Kronus,David,RNDr.,Ph.D.
"11529","32-FUUK","11320",Janáček,Jiří,RNDr.,Ph.D.
"11530","32-#EXT","11320",Crochemore,Maxime,Prof.,
"11532","32-#EXT","11320",Gottwald,Siegfried,Prof. RNDr.,CSc.
"11533","32-#EXT","11320",Simons,Anthony J.H.,,MA PhD
"11534","32-MUNI","11320",Sochor,Jiří,prof. Ing.,CSc.
"11535","32-KFKL","11320",Matěj,Zdeněk,Mgr.,Ph.D.
"12135","32-KSI","11320",Panuška,Petr,RNDr.,
"12136","32-MUAV","11320",Tvrdý,Milan,doc. RNDr.,CSc.
"12137","32-KMA","11320",Fabian,Marián,doc. RNDr.,DrSc.
"12759","32-KSVI","11320",Buriánek,Jan,ing.,
"12139","32-MUAV","11320",Schwabik,Štefan,prof. RNDr.,DrSc.
"12140","32-FUUK","11320",Čermák,Jan,Ing.,DrSc.
"12141","32-KFPP","11320",Grym,Jan,Ing.,Ph.D.
"12142","32-FUUK","11320",Cukr,M.,RNDr.,CSc.
"12143","32-KFM","11320",Hájek,Michal,Mgr.,Ph.D.
"12144","32-KNM","11320",Míka,Stanislav,Prof. RNDr.,CSc.
"12146","32-UFAL","11320",Podveský,Petr,RNDr.,Ph.D.
"12148","32-AUUK","11320",Jungwiert,Bruno,RNDr.,Ph.D.
"12149","32-AUUK","11320",Ehlerová,Soňa,RNDr.,Ph.D.
"12150","32-AUUK","11320",Šubr,Ladislav,doc. RNDr.,Ph.D.
"12152","32-KFA","11320",Kozel,Karel,prof. RNDr.,DrSc.
"12153","32-KSI","11320",Bruha,Ivan,Prof.,
"12154","32-#EXT","11320",Frána,Jaroslav,promovaný fyzik,CSc.
"12155","32-#EXT","11320",Krása,Josef,RNDr.,CSc.
"12156","32-UJFAV","11320",Jánský,Bohumil,Ing.,CSc.
"12157","32-STUD","11320",Kaiser,Tomáš,prof. RNDr.,DSc.
"12158","32-CVUT","11320",Pták,Pavel,Prof. RNDr.,DrSc.
"12161","32-UFEAV","11320",Kaňka,Jiří,Ing.,CSc.
"12162","32-#EXT","11320",Zavadil,Jiří,RNDr.,CSc.
"12707","32-KFA","11320",Beneš,Luděk,doc. Ing.,Ph.D.
"12166","32-FUUK","11320",Gřondilová,Jana,Mgr.,
"12167","32-KMF","11320",Dušková - Smrčková,Miroslava,Ing.,Dr.
"12482","32-KDM","11320",Kočandrle,Milan,,
"12735","32-#EXT","11320",Snášel,Václav,prof. RNDr.,CSc.
"10971","32-KSI","11320",Vaneková,Veronika,,
"13034","32-KMF","11320",Klimovič,Josef,RNDr.,CSc.
"12485","32-KFKL","11320",Klíma,Jan,doc. RNDr.,CSc.
