"POVINN","PKLAS"
NZZZ261,ECOGEN
NAIL003,INFTCS
NAIL004,INFTCS
NAIL005,INFPRG
NAIL005,INFTCS
NAIL006,INFPRG
NAIL006,INFTCS
NAIL007,INFPRG
NAIL007,INFTCS
NAIL008,INFTCS
NAIL010,INFTCS
NAIL011,INFTCS
NAIL012,INFTCS
NAIL013,INFTCS
NAIL015,INFTCS
NAIL019,INFTCS
NAIL020,INFTCS
NAIL021,INFTCS
NAIL022,INFPRG
NAIL022,INFTCS
NAIL023,INFTCS
NAIL024,INFPRG
NAIL024,INFTCS
NAIL028,INFSWE
NAIL028,INFTCS
NAIL033,INFTCS
NAIL034,INFTCS
NAIL052,INFTCS
NALG003,MATALG
NALG004,MATALG
NALG006,MATALG
NALG010,MATALG
NALG011,INFTCS
NALG011,MATALG
NALG013,INFDIS
NALG013,MATALG
NALG013,MATDIS
NALG016,MATALG
NALG027,MATALG
NALG032,MATALG
NALG052,MATALG
NALG058,INFPRG
NALG058,INFTCS
NALG058,MATALG
NALG069,MATNUM
NAST001,PHYAST
NAST002,PHYAST
NAST004,PHYAST
NAST005,PHYAST
NAST006,PHYAST
NAST007,PHYAST
NAST008,PHYAST
NAST009,PHYAST
NAST010,PHYAST
NAST011,PHYAST
NAST013,PHYAST
NAST014,PHYAST
NAST015,PHYAST
NAST016,PHYAST
NAST017,PHYAST
NAST018,PHYAST
NAST019,PHYAST
NAST020,PHYAST
NAST021,PHYAST
NAST023,PHYAST
NAST024,PHYAST
NAST026,PHYAST
NAST028,PHYAST
NBCM001,PHYBPH
NBCM002,PHYBPH
NBCM003,PHYBPH
NBCM006,PHYBPH
NBCM010,PHYBPH
NBCM017,PHYBPH
NBCM019,PHYBPH
NBCM020,PHYBPH
NBCM021,PHYBPH
NBCM022,PHYBPH
NBCM024,PHYBPH
NBCM026,PHYBPH
NBCM031,PHYBPH
NBCM033,PHYBPH
NBCM035,PHYBPH
NBCM036,PHYBPH
NBCM039,PHYBPH
NBCM044,PHYBPH
NBCM051,PHYBPH
NBCM054,PHYBPH
NBCM056,PHYBPH
NBCM057,PHYBPH
NBCM058,PHYBPH
NBCM059,PHYBPH
NBCM060,PHYBPH
NBCM063,PHYBPH
NBCM064,PHYBPH
NBCM068,PHYBPH
NBCM069,PHYBPH
NBCM070,PHYBPH
NBCM072,PHYBPH
NBCM077,PHYBPH
NBCM080,PHYBPH
NBCM082,PHYBPH
NBCM087,PHYBPH
NBCM089,PHYBPH
NBCM090,PHYBPH
NBCM093,PHYBPH
NBCM097,PHYBPH
NDBI002,INFDBS
NDBI005,INFDBS
NDBI006,INFDBS
NDBI009,INFDBS
NDBI011,INFDBS
NDBI013,INFDBS
NDBI014,INFDBS
NDBI016,INFDBS
NDBI017,INFDBS
NDFY001,PHYTEA
NDFY005,PHYTEA
NDFY006,PHYTEA
NDFY007,PHYTEA
NDFY008,PHYTEA
NDFY009,PHYTEA
NDFY015,PHYTEA
NDFY016,PHYTEA
NDFY018,PHYTEA
NDFY019,PHYTEA
NDFY020,PHYTEA
NDFY021,PHYTEA
NDFY025,PHYTEA
NDFY026,PHYTEA
NDFY028,PHYTEA
NDGE004,MATGEM
NDGE005,MATGEM
NDGE009,MATGEM
NDIM002,MATDID
NDIM003,MATDID
NDIN003,INFDID
NDIR003,MATDEQ
NDIR008,MATDEQ
NDIR010,MATDEQ
NDMA006,INFDIS
NDMA006,MATDIS
NDMI010,INFDIS
NDMI014,INFDIS
NDMI015,INFDIS
NDMI018,INFDIS
NDMI025,INFDIS
NDMI029,INFDIS
NEKN012,MATOPT
NEVF001,PHYSUR
NEVF004,PHYSUR
NEVF006,PHYSUR
NEVF008,PHYSUR
NEVF011,PHYSUR
NEVF015,PHYSUR
NEVF016,PHYSUR
NEVF017,PHYSUR
NEVF023,PHYSUR
NEVF024,PHYSUR
NEVF026,PHYSUR
NEVF027,PHYSUR
NEVF028,PHYSUR
NEVF029,PHYSUR
NEVF033,PHYSUR
NEVF034,PHYSUR
NEVF035,PHYSUR
NEVF038,PHYSUR
NEVF040,PHYSUR
NEVF041,PHYSUR
NEVF042,PHYSUR
NEVF043,PHYSUR
NEVF048,PHYSUR
NEVF050,PHYSUR
NEVF052,PHYSUR
NEVF053,PHYSUR
NEVF055,PHYSUR
NEVF056,PHYSUR
NEVF057,PHYSUR
NEVF058,PHYSUR
NEVF059,PHYSUR
NEVF064,PHYSUR
NEVF065,PHYSUR
NEVF066,PHYSUR
NEVF068,PHYSUR
NEVF069,PHYSUR
NEVF070,PHYSUR
NEVF071,PHYSUR
NEVF072,PHYSUR
NEVF084,PHYSUR
NEVF085,PHYSUR
NFAP023,MATFIN
NFOE009,PHYEXT
NFPL001,PHYSOL
NFPL003,PHYTHM
NFPL004,PHYSOL
NFPL007,PHYSOL
NFPL012,PHYSOL
NFPL014,PHYSOL
NFPL015,PHYSOL
NFPL017,PHYSOL
NFPL021,PHYSOL
NFPL022,PHYSOL
NFPL023,PHYSOL
NFPL024,PHYSOL
NFPL025,PHYSOL
NFPL026,PHYSOL
NFPL029,PHYSOL
NFPL030,PHYSOL
NFPL033,PHYSOL
NFPL035,PHYSOL
NFPL036,PHYSOL
NFPL038,PHYSOL
NFPL039,PHYSOL
NFPL040,PHYSOL
NFPL044,PHYSOL
NFPL061,PHYSOL
NFPL063,PHYSOL
NFPL066,PHYSOL
NFPL070,PHYSOL
NFPL076,PHYSOL
NFPL082,PHYSOL
NFPL085,PHYSOL
NFPL089,PHYSOL
NFPL093,PHYSOL
NFPL098,PHYSOL
NFPL101,PHYSOL
NFPL103,PHYSOL
NFPL105,PHYSOL
NFPL107,PHYSOL
